source,title,total_price_yuan,unit_price_yuan_per_m2,area_m2,rooms,location,city,district,block,page,price_per_m2,dataset,rent_month_yuan,rent_per_m2
esf,万城华府龙园 5室3厅4卫 繁华地段 电梯房,76000000.0,247130.0,307.53,5室3厅,万柳,北京,海淀,万柳,2,247130.0,sales,,
esf,万城华府海园 5室3厅3卫 格局方正 品质小区,105000000.0,280000.0,375.0,5室3厅,万柳,北京,海淀,万柳,2,280000.0,sales,,
esf,万城华府玺园 4室3厅3卫 客厅带阳台 主卧朝南,70000000.0,166583.0,420.21,4室3厅,万柳,北京,海淀,万柳,2,166583.0,sales,,
esf,万柳 碧水云天西区 高层观景 视野好 观看中关村灯光秀,7600000.0,125994.0,60.32,1室1厅,万柳,北京,海淀,万柳,2,125994.0,sales,,
esf,单独委托 老业主房子 万泉一期四居室 装修保养的好 带车储,34000000.0,165345.0,205.63,4室2厅,万柳,北京,海淀,万柳,2,165345.0,sales,,
esf,"出国卖房,懂得来,有产权车位,豪华装修拎包入住,价格可刀",85000000.0,205497.0,413.63,5室2厅,万柳,北京,海淀,万柳,2,205497.0,sales,,
esf,康桥水郡 4室2厅2卫 客厅带阳台 客厅朝南,28000000.0,138094.0,202.76,4室2厅,万柳,北京,海淀,万柳,2,138094.0,sales,,
esf,3室2厅碧水云天2期,20880000.0,150486.0,138.75,3室2厅,万柳,北京,海淀,万柳,2,150486.0,sales,,
esf,"钥匙房万城华府龙园一层好山阁,四面采光,五居室+书房+保姆间",97000000.0,245432.0,395.22,5室3厅,万柳,北京,海淀,万柳,2,245432.0,sales,,
esf,康桥水郡 4室2厅2卫 两房朝南 主卧朝南,24300000.0,122597.0,198.21,4室2厅,万柳,北京,海淀,万柳,2,122597.0,sales,,
esf,"万城华府全新装修复式官邸,中间位置,满五年带车位",70000000.0,219690.0,318.63,4室3厅,万柳,北京,海淀,万柳,2,219690.0,sales,,
esf,万柳万泉新增钥匙房 一二层复式 客厅挑高带车位,31000000.0,129209.0,239.92,5室2厅,万柳,北京,海淀,万柳,2,129209.0,sales,,
esf,碧水云天西区 1室1厅1卫 格局方正,7900000.0,96671.0,81.72,1室1厅,万柳,北京,海淀,万柳,2,96671.0,sales,,
esf,南北通透涧桥泊屋3室2厅精装修,25800000.0,150279.0,171.68,3室2厅,万柳,北京,海淀,万柳,2,150279.0,sales,,
esf,涧桥泊屋馆 4室2厅2卫 带飘窗 卫生间全明,32500000.0,177275.0,183.33,4室2厅,万柳,北京,海淀,万柳,2,177275.0,sales,,
esf,急售 高层远观西山经典南北三居、客厅主卧朝南正对园区花园,21000000.0,139804.0,150.21,3室2厅,万柳,北京,海淀,万柳,2,139804.0,sales,,
esf,光大水墨风景 3室2厅2卫 客厅朝南 主卧朝南,21900000.0,145399.0,150.62,3室2厅,万柳,北京,海淀,万柳,2,145399.0,sales,,
